Protein Set;Annotation;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C21;C22;Z01;Z02;Z03;Z04;Z05;Z06;Z07;Z08;Z09;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;C03_2;C04_2;C05_2;C06_2;C07_2;C08_2;C09_2;C10_2;C11_2;C12_2;C13_2;C14_2;C15_2;C16_2;C17_2;C18_2
DDX39B;Spliceosome RNA helicase DDX39B;3.3;14.724999;0.95;0.0;13.349999;11.65;7.6;0.95;2.85;0.0;0.95;6.6499996;4.75;2.85;18.1;7.6;14.6;7.6499996;7.425;4.95;0.0;3.3;4.475;3.3;15.424999;4.125;3.3;7.95;4.125;10.075;0.0;1.65;14.025;11.724999;13.375;16.675;17.324999;15.55;17.55;19.725;2.65;1.65;17.724998;9.6;4.8;0.95;3.8;5.7;4.8;6.6499996;16.15;9.5;9.5;11.4;3.8;0.0;19.1;5.7;7.5999994;1.9
HK1;Hexokinase-1;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;2.0;0.0;6.0;5.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;7.0;4.0;5.0;12.0;13.0;2.0;5.0;0.0;0.0;8.0;2.0;0.0;0.0;4.0;1.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
HMGB2;High mobility group protein B2;3.890411;0.0;10.808487;0.9042437;10.904243;6.0;10.0;11.205658;0.0;10.507072;6.0;4.0;14.109902;12.3014145;10.0;13.0;4.0;12.808487;13.890411;6.890411;0.0;13.890411;11.0;14.0;21.0;16.0;6.630137;10.0;17.41096;14.260274;23.780823;23.356165;16.0;13.835616;6.0;13.0;9.0;5.0;11.0;12.6301365;3.0;12.575342;13.6301365;5.0;4.0;14.0;7.507073;7.0;13.0;3.0;5.0;10.0;11.0;13.0;11.0;15.0;8.0;13.0;7.0;11.0
FGA;Fibrinogen alpha chain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;26.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0
YWHAG;14-3-3 protein gamma;0.21037638;0.41179642;0.14367735;0.09039139;3.294873;0.23406875;0.30876648;0.24315234;0.21494423;1.3533903;1.2670866;1.3481592;0.2502493;1.3342658;1.5004987;0.3226598;1.3223592;0.2960168;2.375232;1.3000486;0.44214368;0.1655403;1.3152221;0.26348406;3.4283397;1.2862445;0.20347434;3.2331367;1.4276547;1.4642193;0.4048944;0.4856102;0.389036;0.6056296;0.6139012;0.5614783;0.62080324;0.5443048;0.5166422;1.6636393;0.34076247;0.13587782;3.2248652;0.38628334;1.2809799;0.1361589;1.3267474;0.1819264;1.1755517;0.49935496;2.1616583;0.30239165;0.23635599;0.4141948;0.4141948;0.2543369;1.5068735;0.26071173;0.2682302;0.3103316
RPS3;40S ribosomal protein S3;0.0;10.0;0.0;0.0;8.0;7.0;1.0;0.0;3.0;2.0;0.0;7.0;0.0;2.0;14.0;11.0;12.0;7.0;0.0;0.0;0.0;9.0;5.0;10.0;20.0;11.0;0.0;7.0;10.0;17.0;0.0;0.0;7.0;2.0;16.0;13.0;14.0;14.0;5.0;13.0;1.0;11.0;8.0;7.0;6.0;3.0;10.0;8.0;2.0;3.0;9.0;5.0;9.0;2.0;4.0;0.0;12.0;2.0;10.0;3.0
RNH1;Ribonuclease inhibitor;0.0;0.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0;0.0;4.0;0.0;4.0;5.0;3.0;0.0;9.0;9.0;6.0;5.0;0.0;3.0;2.0;4.0;2.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;4.0;1.0;5.0;14.0;0.0;1.0;9.0;10.0;0.0;1.0;3.0;13.0;7.0;4.0;4.0;0.0;9.0;3.0;12.0;8.0;4.0;2.0;6.0;4.0;17.0;6.0;10.0;8.0
KRT6A;Keratin, type II cytoskeletal 6A;2.1081111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.051482007;0.0;1.3528761;0.08304853;0.0740384;0.044223096;0.0;0.058688026;0.030075189;0.0;0.6666667;0.0;0.019169826;0.03420742;0.6929825;0.011278195;0.0;0.0;0.0;0.011278195;0.02255639;0.0037593986;0.733992;0.04623128;0.019542657;0.034580253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PGAM1;Phosphoglycerate mutase 1;0.0;8.0;0.0;3.0;7.0;1.0;5.0;2.0;2.0;9.0;7.0;3.0;0.0;5.0;7.0;16.0;7.0;20.0;25.0;12.0;14.0;2.0;1.0;2.0;4.0;2.0;0.0;5.0;6.0;2.0;39.0;6.0;12.0;19.0;16.0;16.0;18.0;18.0;3.0;15.0;14.0;0.0;4.0;9.0;13.0;3.0;10.0;13.0;2.0;9.0;7.0;2.0;0.0;5.0;10.0;7.0;15.0;6.0;14.0;1.0
PSME2;Proteasome activator complex subunit 2;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;8.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;4.0;1.0;3.0;2.0;1.0;0.0;3.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
AHNAK;Neuroblast differentiation-associated protein AHNAK;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;6.0;0.0;9.0;10.0;5.0;0.0;0.0;4.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
APEX1;DNA-(apurinic or apyrimidinic site) endonuclease;0.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;8.0;1.0;2.0;0.0;2.0;1.0;0.0;12.0;16.0;10.0;2.0;19.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;6.0;1.0;0.0;0.0;6.0;4.0;3.0;5.0;8.0;8.0;6.0;0.0;11.0;5.0;12.0;1.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;7.0;5.0;3.0;8.0;6.0
LTA4H;Leukotriene A-4 hydrolase;0.0;6.0;0.0;0.0;3.0;2.0;2.0;0.0;0.0;3.0;6.0;3.0;1.0;0.0;8.0;2.0;4.0;11.0;19.0;2.0;0.0;4.0;10.0;6.0;3.0;3.0;0.0;2.0;5.0;12.0;0.0;1.0;14.0;8.0;9.0;16.0;9.0;5.0;13.0;11.0;5.0;0.0;10.0;11.0;11.0;3.0;7.0;6.0;9.0;4.0;9.0;2.0;6.0;10.0;5.0;3.0;14.0;7.0;8.0;0.0
PPIB;Peptidyl-prolyl cis-trans isomerase B;3.0;17.0;0.0;0.0;10.0;3.0;8.0;4.0;8.0;14.0;12.0;2.0;12.0;11.0;18.0;21.0;12.0;32.0;15.0;14.0;19.0;10.0;14.0;5.0;23.0;9.0;8.0;12.0;6.0;17.0;27.191595;10.0;15.0;24.0;21.0;14.0;16.0;17.0;20.0;26.0;6.0;14.0;13.0;17.0;12.0;12.0;9.0;6.0;7.0;7.0;10.0;13.0;14.168738;5.0;13.0;20.168737;13.0;21.0;13.0;11.0
KPNB1;Importin subunit beta-1;0.0;13.0;0.0;0.0;4.0;1.0;0.0;0.0;4.0;0.0;10.0;3.0;6.0;4.0;29.0;13.0;17.0;3.0;0.0;0.0;0.0;1.0;4.0;3.0;3.0;0.0;0.0;1.0;5.0;20.0;0.0;0.0;20.0;17.0;28.0;14.0;24.0;21.0;21.0;17.0;1.0;7.0;11.0;11.0;8.0;2.0;10.0;11.0;5.0;0.0;5.0;6.0;6.0;7.0;13.0;1.0;16.0;12.0;15.0;0.0
HNRNPR;Heterogeneous nuclear ribonucleoprotein R;3.5;14.5;0.0;8.605016;9.605015;11.617555;11.605015;1.8025079;11.407523;9.617555;9.012539;7.0;8.605016;10.802507;19.815048;13.407523;21.025078;22.222569;16.5;0.0;16.25;8.75;5.5;7.5;27.5;4.75;10.5;11.75;9.75;16.25;22.25;10.75;11.25;15.5;12.0;11.25;12.75;11.25;18.0;20.75;4.0;11.25;8.25;19.25;13.605016;9.407523;6.4075236;5.802508;5.802508;3.6050158;11.012539;6.802508;16.012539;6.4075236;11.0;9.605016;20.815048;12.407523;18.22257;16.025078
FGB;Fibrinogen beta chain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;14.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RDX;Radixin;0.46979573;1.6536288;0.12757732;0.3189433;0.55283505;0.65914947;0.6378866;1.3402061;0.40399486;0.5953608;0.70167524;0.34020618;0.57409793;1.9780928;0.70167524;0.7654639;6.744201;1.5103092;1.4289439;1.3528533;0.28596264;0.6127771;0.6127771;0.5106476;0.63320297;0.51626045;0.46979576;0.49022168;0.75575846;1.3072579;1.1029987;0.36766624;1.0212951;0.83746207;1.857888;0.6536289;1.6127771;7.592351;5.633203;12.231167;3.4697957;3.4902217;1.4697957;3.3472402;9.041882;0.57409793;2.9780927;1.552835;0.68041235;0.7654639;3.6591494;0.93556696;1.8505155;0.87177837;1.8505154;1.8717784;2.7654638;0.5103093;5.9780927;0.21262887
CA1;Carbonic anhydrase 1;2.0;0.0;2.0;3.0;6.0;0.0;0.0;0.0;30.0;24.0;0.0;0.0;4.0;0.0;0.0;3.0;3.0;17.0;22.0;24.0;0.0;3.0;9.0;5.0;0.0;2.0;5.0;0.0;0.0;0.0;19.0;12.0;6.0;6.0;0.0;2.0;6.0;0.0;0.0;0.0;43.0;2.0;0.0;8.0;0.0;0.0;0.0;5.0;1.0;0.0;2.0;0.0;4.0;0.0;2.0;3.0;6.0;24.0;0.0;0.0
GLUD1;Glutamate dehydrogenase 1, mitochondrial;0.0;9.0;0.0;0.0;2.0;2.0;4.0;1.0;2.0;5.0;4.0;1.0;0.0;0.0;11.0;0.0;2.0;18.0;16.0;3.0;8.0;7.0;2.0;2.0;9.0;5.0;0.0;5.0;0.0;13.0;1.0;0.0;5.0;9.0;3.0;0.0;7.0;5.0;8.0;2.0;0.0;3.0;8.0;6.0;0.0;3.0;6.0;0.0;6.0;2.0;8.0;3.0;4.0;6.0;6.0;0.0;4.0;6.0;0.0;1.0
PEBP1;Phosphatidylethanolamine-binding protein 1;2.0;3.0;9.0;0.0;9.0;2.0;11.0;6.0;11.0;21.0;21.0;7.0;0.0;14.0;9.0;16.0;16.0;17.0;25.0;19.0;18.0;5.0;7.0;4.0;7.0;7.0;0.0;3.0;21.0;0.0;42.0;19.0;18.0;26.0;19.0;23.0;27.0;20.0;18.0;18.0;6.0;0.0;4.0;16.0;14.0;17.0;17.0;15.0;0.0;13.0;12.0;7.0;7.0;12.0;16.0;22.0;27.0;17.0;21.0;0.0
KRT14;Keratin, type I cytoskeletal 14;3.2981896;0.0;11.637168;0.0;0.0;0.0;0.0;0.053097345;0.017699115;0.03539823;0.0;0.0;1.141593;0.053097345;0.0;0.0;0.0;0.0;5.1490946;0.0;0.0;5.1490316;1.0596379;1.0;0.0;1.1789138;0.0;0.0;0.0;0.0;0.029818956;0.05963791;0.05963791;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23855165;0.0;0.0;0.0;0.017699115;0.017699115;0.017699115;0.0;0.017699115;0.0;0.053097345;0.0;0.0;0.07079646;0.053097345;0.0;0.0;0.0;0.0;0.0
MACROH2A1;Core histone macro-H2A.1;0.0;9.0;0.0;3.0;5.0;8.0;7.0;0.0;4.0;0.0;4.0;7.0;4.0;4.0;14.0;3.0;8.0;8.0;2.0;0.0;0.0;0.0;6.0;4.0;18.0;0.0;1.0;4.0;8.0;5.0;0.0;0.0;5.0;4.0;0.0;0.0;3.0;16.0;11.0;4.0;5.0;7.0;10.0;7.0;2.0;0.0;9.0;13.0;0.0;3.0;6.0;10.0;5.0;5.0;3.0;0.0;0.0;5.0;15.0;9.0
TPM2;Tropomyosin beta chain;4.437202;0.34976152;3.6153111;3.7578948;1.1866028;1.0181818;4.2889957;1.5052631;2.3473687;2.6918662;5.936842;1.8421053;1.4210527;2.5311005;1.6736842;4.094737;0.5971292;8.161722;8.754413;7.4864864;8.923689;2.7544127;4.669775;2.7544127;1.2269678;6.2408915;0.96464676;0.96464676;5.016734;2.4920917;7.8008947;3.9264908;5.6120825;7.279055;3.874404;4.226968;4.328332;5.9646463;2.6120827;3.0520873;2.6120827;6.934899;0.34976152;4.9618444;1.8497608;4.4832535;9.472728;3.3043063;3.1789474;5.6995215;7.3550243;5.102392;2.6153111;2.6736841;1.6736842;7.694737;1.7739627;5.3473687;6.633493;2.9263158
ANP32B;Acidic leucine-rich nuclear phosphoprotein 32 family member B;0.72328764;3.9287672;0.0;0.0;6.1650944;2.0141509;3.4386792;0.28773585;7.4528303;10.740566;0.28773585;0.0;4.0141506;0.28773585;5.8915095;6.4528303;3.3018868;6.4528303;5.446575;0.72328764;4.3753424;3.9287672;3.1342466;5.410959;4.652055;3.4109588;1.9643836;7.1698627;2.6876712;7.446575;6.339726;5.410959;8.169863;7.8575344;7.616438;8.652055;3.6164382;4.687671;4.1698627;3.2054794;1.0;1.4465753;2.6876712;0.24109589;6.5896225;0.0;6.0141506;5.3018866;2.014151;2.8773584;4.4528303;7.0141506;3.0141509;4.438679;5.1650944;3.740566;11.330189;11.028301;2.3018868;0.5754717
CLIC1;Chloride intracellular channel protein 1;0.0;13.0;0.0;0.0;3.0;3.0;5.0;2.0;11.0;10.0;7.0;0.0;12.0;4.0;16.0;10.0;8.0;13.0;17.0;19.0;4.0;11.0;5.0;0.0;21.0;7.0;1.0;8.0;6.0;17.0;14.0;0.0;21.0;14.0;24.0;23.0;9.0;0.0;15.0;27.0;2.0;5.0;9.0;14.0;14.0;2.0;13.0;6.0;12.0;14.0;14.0;7.0;6.0;12.0;12.0;5.0;20.0;25.0;10.0;9.0
CNN2;Calponin-2;0.0;1.0;0.0;0.0;1.9897959;1.9897959;0.0;0.0;2.0;0.0;0.0;2.0;0.0;3.0;23.0;4.0;1.0;8.0;1.0;0.0;4.0;1.0;0.0;3.0;8.98125;0.0;0.0;11.0;5.99375;15.0;0.0;0.0;3.0;1.0;15.0;15.0;15.0;4.0;3.0;0.0;2.0;2.0;6.0;1.0;0.0;2.0;3.989796;4.0;1.0;3.0;6.0;8.0;0.0;3.0;0.0;1.0;6.0;2.0;8.0;5.0
ARPC2;Actin-related protein 2/3 complex subunit 2;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;7.0;5.0;0.0;0.0;0.0;0.0;13.0;0.0;8.0;17.0;17.0;5.0;0.0;2.0;2.0;3.0;5.0;0.0;1.0;3.0;2.0;5.0;0.0;0.0;0.0;0.0;10.0;1.0;5.0;0.0;9.0;8.0;0.0;3.0;6.0;0.0;0.0;0.0;6.0;0.0;5.0;0.0;3.0;5.0;2.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0
GDI1;Rab GDP dissociation inhibitor alpha;0.01754386;0.01754386;0.0;0.0;0.0;0.0065789474;0.0;0.0;0.0;0.013157895;0.0;0.0;0.0065789474;0.032894738;0.019736841;0.013157895;0.019736841;0.032894738;1.1403509;1.0175439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07017544;0.0;0.0;2.0350876;0.01754386;0.05263158;0.0;0.01754386;0.01754386;0.07017544;0.07017544;0.0;0.03508772;0.14035088;0.07017544;0.0065789474;0.0;0.0;0.0;0.019736841;0.0;0.013157895;0.0065789474;0.0;0.0065789474;0.0;0.0;1.0131578;0.0065789474;0.013157895;0.0
CCT3;T-complex protein 1 subunit gamma;5.0;14.0;0.0;0.0;3.0;3.0;2.0;0.0;0.0;4.0;4.0;1.0;0.0;2.0;11.0;0.0;8.0;0.0;1.0;0.0;0.0;3.0;10.0;5.0;12.0;3.0;1.0;8.0;0.0;3.0;0.0;0.0;0.0;5.0;5.0;8.0;6.0;5.0;7.0;3.0;0.0;1.0;4.0;4.0;2.0;0.0;7.0;0.0;5.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;15.0;0.0;3.0;0.0
SYNCRIP;Heterogeneous nuclear ribonucleoprotein Q;0.5;1.5;0.0;0.39498433;0.39498433;2.3824453;2.3949842;0.19749217;0.5924765;3.382445;3.9874609;2.0;0.39498433;0.19749217;14.184953;1.5924765;8.974922;7.7774296;11.5;0.0;3.75;0.25;0.5;0.5;3.5;0.25;0.5;2.25;4.25;6.75;6.75;1.25;2.75;5.5;6.0;10.75;6.25;7.75;10.0;9.25;3.0;3.75;2.75;7.75;0.39498433;0.5924765;1.5924765;1.1974921;0.19749217;0.39498433;0.98746085;3.1974921;1.9874609;1.5924765;0.0;1.3949844;10.184953;2.5924764;6.7774296;3.9749217
MYL12A;Myosin regulatory light chain 12A;11.0;12.0;9.0;11.0;12.0;3.0;2.0;2.0;7.0;11.0;14.0;12.0;6.0;21.0;28.0;26.0;26.0;22.0;18.0;18.0;18.0;5.0;25.0;14.0;22.0;13.0;11.0;22.0;17.0;12.0;20.0;10.0;22.0;18.0;25.0;23.0;21.0;26.0;25.0;14.0;24.0;15.0;18.0;19.0;20.0;20.0;16.0;18.0;7.0;19.0;8.0;12.0;15.0;19.0;17.0;18.0;21.0;24.0;39.0;17.0
SERPINB9;Serpin B9;1.5;12.5;0.0;3.1376145;4.3944955;0.6972477;2.6972477;0.0;0.0;4.6972475;8.045872;2.0;0.0;1.0;6.3486238;8.0;5.6972475;0.34862384;8.5;2.5;0.0;5.0;6.5;8.0;15.5;5.0;4.0;2.0;0.0;9.5;0.0;0.0;2.0;9.0;2.0;8.5;8.0;10.5;4.0;11.0;4.0;3.0;7.5;6.0;1.0;0.0;3.0;1.0;3.6972477;0.0;5.0;1.3486239;1.0;0.0;0.0;0.0;9.348623;0.0;15.045872;0.0
GIMAP4;GTPase IMAP family member 4;3.0;12.0;3.0;4.0;7.0;10.0;12.0;4.0;5.0;4.0;2.0;8.0;4.0;8.0;17.0;12.0;20.0;15.0;1.0;5.0;0.0;5.0;8.0;3.0;8.0;17.0;3.0;13.0;8.0;6.0;3.0;5.0;6.0;7.0;11.0;11.0;15.0;16.0;15.0;14.0;5.0;3.0;10.0;15.0;5.0;3.0;6.0;9.0;12.0;3.0;8.0;11.0;2.0;0.0;7.0;0.0;13.0;4.0;11.0;7.0
IDH2;Isocitrate dehydrogenase [NADP], mitochondrial;0.0;5.0;0.0;0.0;5.0;1.0;3.0;0.0;8.0;0.0;2.0;3.0;1.0;2.0;12.0;5.0;6.0;8.0;8.0;0.0;0.0;7.0;6.0;6.0;24.0;1.0;1.0;5.0;3.0;6.0;0.0;0.0;9.0;4.0;13.0;6.0;19.0;12.0;7.0;4.0;3.0;4.0;7.0;6.0;5.0;1.0;6.0;10.0;6.0;4.0;8.0;8.0;7.0;8.0;3.0;1.0;1.0;4.0;2.0;0.0
PCBP1;Poly(rC)-binding protein 1;10.491713;15.983425;0.0;0.0;17.57317;14.560976;1.8902439;1.8902439;3.6707315;0.0;13.902439;13.902439;9.560976;11.121951;27.231707;10.231707;20.90244;15.45122;5.872928;0.8729282;0.0;12.491713;10.23757;5.4917126;22.491713;10.491713;6.9834256;12.364641;16.856354;21.729282;3.8729281;2.0;21.23757;15.23757;23.23757;28.602211;18.729282;19.364641;13.23757;12.364641;8.23757;5.618785;14.491713;16.856354;17.231707;3.5609756;23.792683;21.682926;10.012195;8.341463;23.792683;12.902439;6.341463;16.012196;19.341463;2.0;24.012196;14.231707;18.012196;16.560976
CCT8;T-complex protein 1 subunit theta;1.0;7.0;0.0;0.0;6.0;3.0;5.0;0.0;2.0;0.0;3.0;4.0;1.0;4.0;5.0;0.0;6.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;5.0;1.0;0.0;2.0;2.0;6.0;0.0;0.0;5.0;3.0;0.0;10.0;4.0;5.0;4.0;5.0;0.0;0.0;3.0;3.0;4.0;0.0;0.0;0.0;1.0;0.0;6.0;1.0;1.0;3.0;2.0;0.0;10.0;3.0;2.0;4.0
HSP90B1;Endoplasmin;0.047722343;2.0477223;0.0;1.0755287;0.03776435;1.0;0.0;2.0;2.1510575;0.0755287;0.0;0.0;0.0;0.03776435;0.0;0.0;1.1510574;6.0755286;5.143167;1.0477223;0.0;0.0;0.0;0.0;5.286334;0.0;0.0;0.09544469;0.047722343;2.286334;0.0;0.0;0.09544469;1.0477223;1.0477223;1.2386117;0.047722343;1.1908894;0.047722343;1.143167;0.0;0.14316703;6.143167;5.0477223;1.1510574;2.0;1.113293;0.03776435;3.0377643;0.03776435;1.113293;0.03776435;0.2265861;1.0755287;0.0;0.0;0.1510574;3.0;0.0;0.0
NHERF1;Na(+)/H(+) exchange regulatory cofactor NHE-RF1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;15.0;9.0;15.0;10.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;4.0;1.0;4.0;3.0;4.0;5.0;0.0;11.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;0.0;3.0;5.0
H1-1;Histone H1.1;0.3191489;0.1468085;0.33157894;0.22894737;1.3000001;0.31578946;0.30789474;0.13421053;2.2301161;0.2605263;0.28421053;0.15789473;0.40263155;0.20526317;0.22894737;0.24473684;0.21315789;0.21315789;0.17234042;0.14680849;0.10851063;0.41489357;0.21702126;0.33829787;0.24893616;0.20741051;0.26170212;0.22340424;0.293617;0.22978723;0.26170212;0.24893615;0.13404255;0.2680851;0.18510637;0.114893615;0.24482764;0.15957446;0.16595745;0.19787233;0.15957446;0.2001468;0.10851063;0.14680849;0.20526315;0.2763158;0.23684211;0.22894737;0.30789474;0.25263157;0.22105265;0.1857688;0.22894737;0.32368422;0.2368421;0.24473685;0.16578948;0.29210526;0.32368422;0.14999999
CAPZA1;F-actin-capping protein subunit alpha-1;3.0;13.0;3.0;3.0;8.0;16.0;8.0;9.0;8.0;3.0;4.0;3.0;9.0;8.0;10.0;5.0;15.0;15.0;14.0;10.0;15.0;10.0;4.0;10.0;36.0;9.0;3.0;14.0;8.0;21.0;17.0;1.0;7.0;8.0;10.0;10.0;13.0;3.0;16.0;17.0;4.0;9.0;11.0;6.0;5.0;11.0;14.0;16.0;13.0;9.0;13.0;8.0;10.0;16.0;7.0;4.0;17.0;5.0;19.0;11.0
HSPA6;Heat shock 70 kDa protein 6;11.516433;10.532619;4.3210416;2.3278313;2.7700293;2.0420153;12.447174;4.6613026;7.5753713;13.120907;12.8297;7.9631243;13.806905;6.2543297;8.922259;10.382113;19.589201;10.776656;11.96911;14.734397;11.044896;5.4949856;7.7767754;3.2195134;4.0480437;9.738601;1.0731797;5.2948065;13.29375;15.125427;18.464657;4.22057;10.534217;16.197031;17.702024;13.734938;11.775719;19.698875;21.496042;15.791905;8.370099;15.756385;13.368502;8.608454;16.034975;7.3945427;13.708544;7.50327;10.837978;6.9262486;11.713934;11.691138;14.417339;10.691138;9.75925;17.051857;18.690725;15.952095;7.0718513;9.684098
HLA-A;HLA class I histocompatibility antigen, A alpha chain;0.0;19.85263;0.0;2.0;0.0;14.0;0.0;0.81395346;0.0;3.0;0.0;0.0;0.0;0.81395346;0.0;2.0;0.0;2.8139534;9.557895;6.8526316;0.0;2.0;0.0;1.0;19.926315;0.0;0.0;0.0;0.47311828;0.0;0.0;0.0;1.0;0.0;0.0;0.9263158;1.0;0.0;3.9263158;2.0;1.0;0.0;10.778948;2.3257499;0.0;3.0;0.0;9.627907;0.0;0.81395346;0.81395346;0.81395346;0.0;0.0;0.0;0.0;0.0;1.9710442;0.0;3.4418604
RPLP0;60S acidic ribosomal protein P0;5.0;22.0;0.0;3.0;5.0;3.0;11.0;0.0;11.0;12.0;14.0;13.0;4.0;5.0;18.0;17.0;14.0;19.0;11.0;3.0;0.0;6.0;14.0;5.0;14.0;10.0;0.0;10.0;15.0;17.0;7.0;7.0;10.0;20.0;20.0;10.0;14.0;13.0;17.0;18.0;1.0;6.0;10.0;15.0;17.0;8.0;18.0;10.0;13.0;11.0;18.0;15.0;17.0;17.0;13.0;2.0;20.0;5.0;26.0;0.0
PRDX2;Peroxiredoxin-2;6.846899;12.4234495;0.40751043;0.0;13.222531;7.2225313;2.4075103;1.6300417;15.630042;10.630041;8.407511;8.222531;8.8150215;8.222531;22.037552;4.8150206;25.22253;13.222531;23.117249;12.693798;4.4234495;6.5406976;10.540697;4.6937985;11.846899;10.270349;5.117248;15.270349;14.693798;13.0;13.270349;3.0;10.0;19.387596;14.846899;14.693798;19.270348;21.693798;10.4234495;12.0;10.693798;7.4234495;14.4234495;14.846899;10.407511;3.2225313;12.037552;15.815021;0.0;7.8150206;12.407511;17.445063;18.630041;15.407511;6.4075103;7.4075103;21.445063;10.222531;12.815021;4.8150206
HP1BP3;Heterochromatin protein 1-binding protein 3;2.0;0.0;0.0;0.0;9.0;3.0;2.0;0.0;7.0;11.0;4.0;5.0;4.0;11.0;28.0;8.0;8.0;22.0;7.0;2.0;0.0;0.0;0.0;4.0;9.0;3.0;0.0;3.0;22.0;16.0;2.0;4.0;10.0;16.0;16.0;9.0;20.0;20.0;19.0;8.0;9.0;14.0;9.0;8.0;4.0;1.0;10.0;4.0;3.0;0.0;8.0;17.0;3.0;4.0;15.0;0.0;11.0;8.0;18.0;16.0
COTL1;Coactosin-like protein;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;6.0;7.0;2.0;0.0;0.0;3.0;23.0;23.0;2.0;3.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;2.0;8.0;10.0;3.0;2.0;5.0;0.0;7.0;0.0;2.0;6.0;6.0;0.0;0.0;15.0;15.0;6.0;4.0;0.0;0.0;4.0;4.0;0.0;0.0;5.0;2.0;5.0;0.0;0.0;0.0;4.0;5.0
