Protein Set,LUMA1,LUMA2,LUMA3,LUMA4,LUMA5,LUMB1,LUMB2,LUMB3,LUMB4,LUMB5,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,ZDRAVI1,ZDRAVI2,ZDRAVI3,ZDRAVI4,ZDRAVI5,ZDRAVI6,ZDRAVI7,ZDRAVI8,ZDRAVI9,ZDRAVI10
AN32B_HUMAN,4.386364,2.193182,1.7897727,7.590909,4.1875,5.8,4.6,2.6,2.6,5.0,2.2893083,4.2893085,2.2893083,1.3081762,1.7987423,3.7987423,2.1446543,6.981132,4.9433966,6.616352,6.4528303,2.4528303,4.1446543,2.81761,0.98113215
GDIB_HUMAN,NA,2.0,5.0,12.941748,18.825243,7.0,4.939394,8.959596,1.979798,13.838384,4.990991,11.0,13.0,9.981982,1.981982,7.0,4.0,11.9639635,3.0,6.990991,18.972973,12.990991,3.990991,14.9639635,5.981982
LA_HUMAN,7.0,1.0,1.0,5.0,35.0,14.0,27.0,17.0,9.0,20.0,11.0,12.0,8.0,21.0,20.0,12.0,9.0,11.0,26.0,18.0,9.0,20.0,24.0,19.0,6.0
HXK1_HUMAN,NA,NA,NA,NA,15.0,NA,NA,NA,NA,NA,NA,3.0,14.0,18.0,8.0,2.0,NA,3.0,NA,7.0,4.0,12.0,13.0,5.0,NA
LSP1_HUMAN,NA,NA,1.0,1.0,8.0,3.0,1.0,12.0,3.0,3.0,NA,3.0,NA,8.0,12.0,1.0,5.0,4.0,30.0,2.0,4.0,11.0,5.0,NA,1.0
DX39B_HUMAN,2.3225806,3.096774,3.8709676,NA,5.4193544,10.111111,NA,1.5555556,NA,9.444445,8.1081085,11.351352,12.162163,12.486486,0.8108108,15.2972975,4.0540543,9.918919,NA,11.540542,13.162163,17.027027,15.351352,19.540539,1.6216216
H15_HUMAN,29.0,5.0,28.0,8.0,14.0,16.306889,8.0,4.0,11.653444,7.0,30.12191,27.0,22.12191,17.0,21.0,59.0,45.0,38.0,9.0,12.0,17.0,28.624382,14.0,24.0,22.624382
1433G_HUMAN,1.2661389,0.19403724,0.45834106,0.15257418,2.2683864,2.5911589,6.825336,1.7525256,1.1697912,0.39692995,0.4559188,1.5078139,1.3971741,1.1612611,1.2505466,3.3558333,1.3518476,1.3771875,0.33186087,0.48782727,0.4984751,0.50115174,0.4415077,1.5361465,0.11593445
ARPC2_HUMAN,NA,NA,NA,NA,16.0,6.0,NA,5.0,3.0,3.0,4.0,2.0,7.0,6.0,2.0,5.0,2.0,5.0,NA,NA,10.0,5.0,NA,8.0,3.0
K1C9_HUMAN,NA,3.0,9.0,19.0,NA,4.0,NA,6.0,NA,NA,13.0,5.0,NA,NA,NA,NA,NA,NA,4.0,9.0,NA,NA,NA,NA,NA
RS3_HUMAN,2.0,NA,5.0,2.0,8.0,3.0,NA,1.0,2.0,1.0,7.0,17.0,14.0,18.0,9.0,20.0,10.0,17.0,NA,2.0,16.0,14.0,14.0,13.0,11.0
SPB9_HUMAN,0.53543305,2.070866,1.0,1.535433,14.141732,2.55,NA,7.65,NA,8.85,NA,3.0,9.0,6.6296296,2.5259259,15.733334,NA,9.525927,NA,9.155556,2.0,8.0,10.577778,11.259259,3.0518517
MECP2_HUMAN,2.0,NA,NA,NA,2.0,4.0,NA,NA,NA,NA,NA,1.0,7.0,10.0,18.0,3.0,3.0,6.0,6.0,6.0,2.0,5.0,4.0,NA,8.0
GRP75_HUMAN,10.0,NA,10.0,1.0,10.0,15.0,16.0,11.0,6.0,27.0,NA,4.0,7.0,18.0,8.0,8.0,4.0,8.0,11.0,10.0,2.0,10.0,18.0,10.0,5.0
CAZA1_HUMAN,5.0,5.0,5.0,19.0,16.0,14.0,10.0,12.0,5.0,9.0,10.878049,2.9634147,9.939024,20.865854,5.97561,35.780487,7.9390244,20.92683,16.890244,7.9268293,9.939024,12.902439,2.9634147,16.853659,8.890244
PPIB_HUMAN,19.0,1.0,8.0,6.0,22.0,19.0,17.0,15.0,11.0,20.0,12.0,18.0,15.0,18.0,25.0,23.0,6.0,17.0,27.212814,24.0,21.0,16.0,17.0,26.0,14.0
HNRPQ_HUMAN,3.8933332,NA,NA,3.2977777,22.275555,7.3278008,19.315353,6.6556015,2.3236516,16.983402,3.1687243,3.876543,2.0,12.460905,13.045267,3.9218106,4.460905,7.045267,7.0452676,5.753086,6.168724,6.460905,8.045267,9.798353,4.0452676
PEBP1_HUMAN,6.0,3.0,7.0,18.0,27.0,28.0,32.0,26.0,14.0,28.0,20.0,15.0,21.0,9.0,8.0,7.0,21.0,NA,42.0,26.0,19.0,27.0,20.0,18.0,NA
RLA0_HUMAN,8.0,NA,10.0,13.0,15.0,17.0,5.0,3.0,1.0,20.0,9.0,17.0,13.0,11.0,15.0,14.0,15.0,17.0,7.0,20.0,20.0,14.0,13.0,18.0,6.0
AHNK_HUMAN,NA,NA,NA,5.0,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,3.0,6.0,NA,10.0,5.0,NA,7.0
IMB1_HUMAN,NA,NA,2.0,2.0,10.0,6.0,NA,NA,NA,4.0,10.0,20.0,30.0,13.0,13.0,3.0,5.0,20.0,NA,17.0,28.0,24.0,21.0,17.0,7.0
H2A2A_HUMAN,46.91734,19.62264,35.831085,24.536388,50.922733,65.76335,25.711864,2.4633832,20.830828,52.711864,67.25078,68.97179,64.02351,43.09718,40.01254,56.315044,52.540752,54.462383,44.659874,63.70533,60.8605,77.023506,74.88088,46.3558,43.01254
IDHP_HUMAN,NA,NA,11.0,NA,12.0,6.0,NA,1.0,1.0,16.0,7.0,7.0,15.0,11.0,7.0,24.0,3.0,6.0,NA,4.0,13.0,19.0,12.0,4.0,4.0
TPM2_HUMAN,4.3700843,3.070927,1.6011236,5.7317414,8.970506,5.6055365,13.274015,10.022061,4.908954,7.122407,5.6012025,2.4028056,2.6012025,1.8016032,10.8603,1.3309515,5.1609006,2.5596983,8.134559,7.461502,4.002004,4.5287504,6.03035,3.1305504,6.9169917
HMGB2_HUMAN,15.844828,5.0,11.0,1.4224137,16.137932,25.904306,16.315788,11.014355,8.904306,15.507177,15.565074,10.0,4.0,11.570017,17.705107,21.0,16.990116,14.140033,23.4201,13.565074,6.0,9.0,5.0,12.570017,12.425041
PDIA3_HUMAN,7.0,NA,5.0,2.0,25.0,22.0,5.0,14.0,7.0,18.0,10.0,15.0,18.0,33.0,14.0,25.0,7.0,17.0,13.0,11.0,14.0,20.0,12.0,15.0,11.0
PRDX2_HUMAN,1.3606558,0.36065573,9.803279,11.360656,20.360657,13.39921,18.79842,7.9960475,13.39921,16.79842,3.7269373,11.0,9.090406,22.090406,18.726936,11.726937,14.453875,13.0,13.090406,18.90775,14.726937,19.090406,21.453875,12.0,7.3634686
LKHA4_HUMAN,NA,NA,1.0,NA,27.0,4.0,NA,5.0,2.0,15.0,5.0,10.0,12.0,8.0,5.0,3.0,5.0,12.0,NA,8.0,9.0,9.0,5.0,11.0,NA
HP1B3_HUMAN,11.0,NA,4.0,NA,18.0,17.0,2.0,NA,8.0,7.0,4.0,17.0,17.0,14.0,14.0,9.0,22.0,16.0,2.0,16.0,16.0,20.0,20.0,8.0,14.0
H2AY_HUMAN,8.0,1.0,6.0,NA,8.0,5.0,NA,NA,5.0,9.0,2.0,NA,9.0,12.0,10.0,18.0,8.0,5.0,NA,4.0,NA,3.0,16.0,4.0,7.0
DHE3_HUMAN,NA,NA,NA,NA,15.0,17.0,19.0,13.0,4.0,39.0,1.0,3.0,4.0,16.0,6.0,9.0,NA,13.0,1.0,9.0,3.0,7.0,5.0,2.0,3.0
APEX1_HUMAN,2.0,NA,NA,6.0,21.0,2.0,38.0,20.0,6.0,17.0,NA,1.0,NA,16.0,8.0,NA,4.0,6.0,1.0,6.0,4.0,5.0,8.0,6.0,11.0
GDIR2_HUMAN,26.0,26.0,23.0,17.0,25.0,42.0,37.0,30.0,12.0,20.0,19.0,21.0,27.0,16.0,15.0,38.0,19.0,19.0,50.0,28.0,37.0,31.0,23.0,28.0,12.0
CNN2_HUMAN,1.0,NA,3.0,NA,12.974684,1.0,2.0,NA,NA,2.0,4.0,3.0,2.989011,11.989011,8.978022,8.967033,5.989011,15.0,NA,1.0,15.0,15.0,4.0,NA,2.0
RAC2_HUMAN,10.0,2.490566,13.235849,5.745283,21.471699,18.797688,1.6994219,9.398844,11.098266,17.797688,17.23325,22.488834,26.977667,30.955336,24.23325,21.0,22.977667,18.210918,5.7444167,15.744417,17.977669,23.488834,35.21092,35.744415,19.23325
PTN6_HUMAN,1.0,NA,6.0,2.0,10.0,7.0,NA,NA,NA,5.0,8.0,19.0,16.0,14.0,14.0,6.0,9.0,14.0,NA,7.0,23.0,17.0,9.0,6.0,4.0
RL4_HUMAN,NA,NA,NA,NA,3.0,6.0,NA,NA,1.0,NA,NA,NA,NA,5.0,4.0,4.0,2.0,6.0,NA,3.0,NA,1.0,14.0,11.0,7.0
ALDOC_HUMAN,NA,NA,NA,NA,8.05052,NA,2.0,1.0,2.0,6.0,NA,2.0,NA,3.0269907,6.0,NA,NA,2.0,NA,NA,1.0,NA,4.0,2.0,NA
GNAI2_HUMAN,NA,NA,2.0,2.0,18.0,7.0,NA,3.0,4.0,15.0,7.0,12.0,6.0,14.0,9.0,NA,3.0,11.0,6.0,16.0,10.0,9.0,16.0,30.0,3.0
HSP76_HUMAN,10.349407,8.206987,4.407947,16.206818,19.555408,16.796415,22.039976,6.2978578,8.3039055,12.283502,13.326925,9.659481,12.473715,8.763563,10.951288,5.207789,13.52389,15.627972,21.531229,17.295227,17.825123,11.973747,20.431007,16.388111,16.165268
H2A1D_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ML12A_HUMAN,12.0,17.0,12.0,16.0,23.0,17.0,14.0,16.0,11.0,22.0,18.0,23.0,21.0,12.0,21.0,22.0,17.0,12.0,20.0,18.0,25.0,21.0,26.0,14.0,15.0
ILEU_HUMAN,1.464567,2.929134,3.0,4.464567,17.858269,4.45,3.0,9.35,1.0,8.15,4.0,7.0,6.0,11.370371,5.4740744,13.266666,1.0,4.4740744,NA,8.844444,5.0,3.0,2.4222221,7.740741,1.9481481
PNPH_HUMAN,9.0,5.0,3.0,18.0,23.0,13.0,7.0,9.0,12.0,19.0,12.0,19.0,19.0,23.0,12.0,24.0,12.0,21.0,4.0,21.0,25.0,24.0,26.0,30.0,14.0
GSHR_HUMAN,14.0,9.0,9.0,18.0,29.0,33.0,33.0,28.0,13.0,13.0,22.0,18.0,16.0,18.0,12.0,2.0,11.0,3.0,35.0,45.0,18.0,10.0,12.0,15.0,8.0
TCPG_HUMAN,1.0,NA,4.0,3.0,2.0,NA,NA,NA,NA,3.0,NA,2.0,3.0,9.0,6.0,12.0,NA,3.0,NA,5.0,5.0,6.0,5.0,3.0,1.0
RAN_HUMAN,22.0,NA,9.0,4.0,24.0,9.0,24.0,14.0,12.0,19.0,16.0,16.0,16.0,21.0,14.0,18.0,5.0,24.0,6.0,15.0,22.0,17.0,18.0,16.0,5.0
EF1A2_HUMAN,0.034188036,1.0427351,0.06837607,0.042735048,0.051282056,,,,,,,,,,,,,,,,,,,,
HCLS1_HUMAN,NA,NA,4.0,6.0,2.0,3.0,3.0,8.0,2.0,12.0,4.0,10.0,NA,3.0,2.0,2.0,4.0,3.0,10.0,8.0,NA,NA,4.0,2.0,8.0
HNRH1_HUMAN,0.5897436,NA,NA,3.5897436,13.538462,5.47191,2.47191,6.235955,4.0,15.561798,1.6419753,6.283951,2.6419754,7.0,7.2098765,5.8518515,6.283951,5.2098765,8.925926,NA,2.6419754,7.567901,8.851852,8.851851,1.9259259
COTL1_HUMAN,2.0,1.0,4.0,NA,27.0,2.0,18.0,17.0,6.0,13.0,4.0,NA,NA,16.0,14.0,8.0,2.0,8.0,10.0,5.0,NA,NA,2.0,6.0,NA
DESM_HUMAN,0.0044088177,0.002004008,0.0032064125,0.0064128255,0.00521042,0.009090909,0.0024793388,0.003305785,0.002892562,0.008264462,0.0054158606,0.010444874,0.012765957,0.0058027077,0.006576402,0.0054158606,0.006576402,0.0116054155,0.010058027,0.0058027077,0.011218568,0.010058027,0.008123791,0.008123791,1.0077368
RS18_HUMAN,4.0,NA,7.0,4.0,15.0,12.0,NA,NA,NA,4.0,9.0,24.0,23.0,19.0,11.0,15.0,15.0,34.0,3.0,19.0,23.0,19.0,17.0,3.0,3.0
TPM1_HUMAN,12.374532,10.786517,8.771536,10.962546,9.580524,10.602077,11.692042,5.9031143,5.9757786,7.065744,5.0701404,5.496994,5.0701404,6.4268537,5.1402802,15.783567,6.6753507,8.60521,11.993988,6.2104206,8.783567,6.721175,12.248497,6.4268537,9.07014
LRRF1_HUMAN,2.0,NA,2.0,7.0,18.0,3.0,9.0,12.0,NA,8.0,7.0,11.0,6.0,3.0,3.0,NA,4.0,NA,10.0,15.0,12.0,3.0,5.0,5.0,5.0
SET_HUMAN,7.0,4.0,2.0,2.0,11.0,15.0,23.0,13.0,5.0,14.0,11.0,6.0,4.0,3.0,6.0,4.0,3.0,11.0,34.0,22.0,14.0,7.0,14.0,20.0,9.0
K2C6B_HUMAN,0.073918134,0.19333655,0.24767828,0.24691975,0.3314957,0.111011684,0.3235644,0.26504815,0.020054743,0.2057079,0.21256813,0.41934937,0.091523044,0.12750489,NA,NA,NA,NA,0.08473971,0.05838285,NA,NA,0.037974685,1.0126582,0.1579354
LASP1_HUMAN,6.0,NA,2.0,3.0,12.0,4.0,23.0,11.0,3.0,20.0,1.0,1.0,NA,NA,2.0,NA,2.0,NA,11.0,2.0,1.0,1.0,3.0,1.0,3.0
G6PI_HUMAN,1.0,NA,NA,1.0,14.0,NA,1.0,3.0,2.0,2.0,2.0,10.0,7.0,NA,8.0,NA,NA,3.0,NA,8.0,10.0,9.0,1.0,3.0,1.0
IF4A1_HUMAN,6.0,NA,6.0,7.929825,13.0,14.913044,NA,NA,NA,6.0,5.893401,11.0,10.893401,13.786802,11.0,6.0,17.8934,19.893402,1.0,17.0,15.786802,17.0,16.0,16.0,4.893401
PSME2_HUMAN,NA,NA,NA,2.0,10.0,NA,9.0,NA,NA,11.0,NA,1.0,1.0,9.0,2.0,2.0,NA,1.0,NA,NA,2.0,1.0,3.0,1.0,3.0
GIMA4_HUMAN,5.0,10.0,12.0,9.0,12.0,13.0,5.0,4.0,2.0,10.0,7.0,2.0,18.0,14.0,13.0,8.0,8.0,6.0,3.0,7.0,11.0,15.0,16.0,14.0,3.0
ICAL_HUMAN,NA,NA,NA,NA,NA,3.0,6.0,2.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,22.0,1.0,8.0,NA,NA,NA,1.0
PDIA1_HUMAN,1.0,NA,NA,NA,19.0,NA,3.0,7.0,3.0,6.0,NA,6.0,4.0,7.0,16.0,5.0,NA,NA,1.0,7.0,12.0,4.0,7.0,7.0,2.0
SPTB2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,1.0,NA,4.0,NA,4.0,1.0,NA,NA,NA,9.0,3.0,NA,NA
1433F_HUMAN,1.124183,0.13725491,0.11764706,1.124183,0.09803922,0.20806514,2.1941457,1.1009558,1.0698925,2.1863801,0.12000434,0.11392406,0.11992006,1.065956,1.1199201,4.1618924,0.13191207,0.10193205,0.11392406,0.095936045,1.131912,0.10792805,0.18621321,2.1922092,0.077948034
NPM_HUMAN,NA,1.0,NA,13.0,15.0,10.0,17.0,9.0,3.0,19.0,4.0,10.0,8.0,13.0,15.0,2.0,11.0,12.0,14.0,17.0,12.0,14.0,6.0,22.0,11.0
HLAA_HUMAN,NA,NA,NA,0.90909094,11.909091,NA,NA,1.0,NA,1.3220339,1.3441558,0.8214286,8.285714,11.285714,2.0,19.821428,0.26136363,NA,NA,NA,NA,1.0,NA,2.0,NA
TYB4_HUMAN,6.0,5.0,14.0,38.0,5.0,30.0,27.0,22.0,14.0,19.0,38.0,31.0,21.0,NA,NA,3.0,29.0,NA,11.0,37.0,18.0,22.0,17.0,32.0,2.0
ENPL_HUMAN,NA,0.03514377,NA,NA,NA,0.034810126,NA,NA,NA,NA,NA,0.11666667,0.11666667,9.175,1.1166667,5.35,0.058333334,2.35,NA,1.0583333,1.0583333,0.058333334,1.2333333,1.175,0.175
ARPC3_HUMAN,7.0,NA,NA,9.0,13.0,NA,6.0,4.0,NA,13.0,2.0,11.0,12.0,9.0,10.0,4.0,NA,15.0,NA,3.0,11.0,6.0,9.0,19.0,5.0
PRKDC_HUMAN,NA,NA,NA,NA,6.0,NA,NA,NA,NA,2.0,NA,NA,8.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,3.0,3.0,1.0
STIP1_HUMAN,5.0,2.0,4.0,2.0,15.0,10.0,22.0,13.0,3.0,15.0,2.0,7.0,6.0,5.0,5.0,8.0,4.0,6.0,23.0,12.0,15.0,7.0,8.0,14.0,8.0
CH10_HUMAN,12.0,9.0,5.0,NA,11.0,11.0,19.0,9.0,7.0,19.0,8.0,10.0,6.0,9.0,13.0,9.0,14.0,13.0,17.0,17.0,13.0,20.0,21.0,19.0,10.0
GDIA_HUMAN,NA,NA,NA,0.058252428,2.1747572,NA,0.060606062,1.0404041,0.02020202,1.1616162,0.009009009,NA,NA,1.018018,0.018018018,NA,NA,0.036036037,NA,0.009009009,0.027027028,0.009009009,0.009009009,0.036036037,0.018018018
NHRF1_HUMAN,NA,NA,NA,1.0,9.0,8.0,15.0,6.0,6.0,5.0,1.0,2.0,NA,1.0,4.0,6.0,NA,NA,17.0,1.0,4.0,4.0,5.0,11.0,NA
RL7_HUMAN,3.0,NA,2.0,2.0,10.0,6.0,4.0,5.0,2.0,10.0,9.0,9.0,9.0,10.0,7.0,10.0,6.0,8.0,3.0,5.0,15.0,8.0,4.0,16.0,3.0
PHB2_HUMAN,NA,NA,7.0,NA,3.0,10.0,NA,NA,1.0,NA,11.0,11.0,9.0,15.0,13.0,6.0,6.0,9.0,6.0,5.0,12.0,10.0,5.0,11.0,6.0
GLU2B_HUMAN,NA,NA,NA,NA,20.0,10.0,17.0,4.0,8.0,24.0,NA,6.0,6.0,9.0,11.0,1.0,8.0,5.0,13.0,9.0,9.0,11.0,NA,5.0,2.0
FUBP1_HUMAN,NA,NA,NA,4.0,3.0,NA,4.0,4.0,NA,7.0,NA,NA,NA,1.0,NA,NA,2.0,NA,2.0,5.0,1.0,2.0,4.0,3.0,NA
RBMX_HUMAN,5.0,4.0,NA,11.0,15.0,13.0,17.0,14.0,5.0,11.0,10.0,6.0,2.0,9.0,16.0,7.0,10.0,14.0,25.0,17.0,13.0,11.0,2.0,13.0,6.0
HNRL2_HUMAN,NA,NA,NA,NA,11.0,2.0,2.0,3.0,NA,3.0,NA,3.0,6.0,7.0,NA,1.0,NA,2.0,1.0,2.0,3.0,1.0,1.0,1.0,NA
ENOG_HUMAN,1.0,NA,NA,2.0667462,10.266985,0.07809111,6.3123646,4.35141,3.1171367,8.35141,NA,1.1154734,0.115473434,2.230947,2.300231,1.0923787,2.0230947,0.06928407,0.023094688,0.16166282,0.115473434,3.1616628,5.230947,3.3464203,1.1154734
ARC1B_HUMAN,10.0,NA,7.0,11.0,13.0,6.0,8.0,10.0,7.0,11.0,4.0,6.0,8.0,10.0,11.0,15.0,8.0,7.0,4.0,6.0,4.0,3.0,4.0,13.0,1.0
RHOA_HUMAN,1.0,NA,NA,NA,1.0,4.0,NA,NA,NA,1.0,NA,10.0,3.0,3.0,3.0,7.0,NA,5.0,NA,9.0,8.0,2.0,21.0,9.0,8.0
DX39A_HUMAN,0.6774193,0.9032258,1.1290323,NA,1.5806452,2.8888888,NA,0.44444445,NA,2.5555556,1.891892,2.6486487,2.837838,1.5135136,0.1891892,5.7027025,0.945946,2.0810812,NA,2.4594595,2.837838,3.972973,3.6486487,4.4594593,0.3783784
AATM_HUMAN,NA,NA,1.0,NA,11.0,2.0,NA,NA,NA,4.0,NA,2.0,17.0,7.0,2.0,4.0,4.0,3.0,NA,NA,2.0,2.0,NA,NA,NA
PERM_HUMAN,NA,20.0,7.0,NA,8.0,NA,NA,6.0,NA,8.0,NA,1.0,4.0,2.0,13.0,NA,NA,NA,NA,NA,NA,1.0,2.0,NA,NA
RSSA_HUMAN,2.0,3.0,3.0,9.0,14.0,7.0,14.0,8.0,5.0,18.0,NA,8.0,8.0,8.0,12.0,9.0,5.0,13.0,3.0,NA,14.0,7.0,11.0,7.0,2.0
RS9_HUMAN,NA,NA,6.0,1.0,7.0,NA,2.0,1.0,NA,4.0,2.0,NA,13.0,6.0,3.0,8.0,2.0,9.0,NA,4.0,14.0,14.0,22.0,1.0,4.0
CAPZB_HUMAN,4.0,NA,NA,6.0,13.0,11.0,14.0,13.0,8.0,12.0,7.0,8.0,14.0,20.0,12.0,11.0,NA,11.0,13.0,6.0,10.0,6.0,6.0,14.0,5.0
ACON_HUMAN,NA,NA,NA,NA,10.0,2.0,7.0,1.0,NA,13.0,NA,NA,NA,9.0,4.0,1.0,NA,NA,NA,NA,NA,NA,2.0,1.0,NA
F10A1_HUMAN,NA,NA,1.0,3.0,9.0,2.0,18.0,7.0,1.0,7.0,NA,NA,NA,2.0,5.0,NA,NA,NA,17.0,3.0,5.0,5.0,NA,NA,NA
ARF1_HUMAN,5.0,NA,4.0,NA,1.0,NA,NA,NA,NA,NA,5.0,3.0,10.0,3.0,2.0,22.0,NA,2.0,NA,10.0,3.0,7.0,9.0,5.0,NA
PFKAL_HUMAN,NA,NA,NA,NA,8.0,NA,10.0,NA,3.0,9.0,NA,NA,NA,2.0,2.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
RINI_HUMAN,NA,NA,1.0,3.0,6.0,3.0,NA,1.0,NA,2.0,4.0,9.0,14.0,15.0,9.0,2.0,3.0,4.0,NA,1.0,5.0,NA,1.0,10.0,1.0
PSA6_HUMAN,4.0,NA,3.0,9.0,12.0,5.0,22.0,15.0,7.0,14.0,5.0,9.0,NA,8.0,11.0,9.0,3.0,8.0,2.0,4.0,5.0,7.0,8.0,10.0,1.0
CAH1_HUMAN,6.0,14.0,1.0,26.0,4.0,17.0,47.0,27.0,19.0,23.0,1.0,3.0,NA,NA,NA,NA,NA,NA,19.0,6.0,NA,6.0,NA,NA,2.0
DDX5_HUMAN,NA,NA,0.058823533,NA,0.13398694,0.14693877,NA,NA,NA,NA,0.9025974,1.7402598,1.3896104,1.5909091,2.7727273,0.45454547,0.14285715,0.23376624,0.18181819,2.0714285,1.512987,1.4545455,0.2857143,0.071428575,0.071428575
PARK7_HUMAN,NA,NA,NA,NA,8.0,NA,3.0,NA,NA,13.0,NA,NA,NA,13.0,7.0,1.0,3.0,6.0,2.0,8.0,2.0,3.0,3.0,5.0,1.0
DHX9_HUMAN,NA,NA,1.0,1.0,3.0,1.0,NA,NA,NA,NA,2.0,NA,NA,13.0,2.0,4.0,1.0,6.0,NA,NA,NA,4.0,4.0,9.0,1.0
PCBP2_HUMAN,0.5419355,0.13548388,0.40645164,1.5419354,0.40645164,0.664557,0.2658228,NA,NA,1.2658228,1.6577778,8.644444,6.9733334,4.151111,1.6577778,3.6577778,2.48,4.6444445,1.1644444,2.9866667,2.9866667,5.6444445,3.8222222,1.8222222,0.49333334
ANX11_HUMAN,NA,NA,7.0,2.0,5.0,9.0,NA,NA,NA,1.0,4.0,14.0,7.0,4.0,5.0,3.0,2.0,10.0,NA,7.0,17.0,17.0,NA,5.0,NA
TRFL_HUMAN,NA,15.0,NA,NA,3.0,NA,NA,1.0,NA,4.0,NA,NA,NA,3.0,6.0,NA,NA,NA,NA,NA,2.0,1.0,NA,NA,NA
URP2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,2.0,1.0,NA,4.0,7.0,6.0,2.0,1.0,1.0,1.0,NA,NA,5.0,NA,4.0,4.0,NA
K2C6A_HUMAN,NA,NA,NA,NA,NA,1.4067796,1.2073011,1.9856584,0.06779661,1.7731421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRDX3_HUMAN,2.0,NA,NA,2.0,14.0,6.0,NA,3.0,4.0,10.0,NA,1.0,1.0,10.0,13.0,12.0,NA,NA,2.0,8.0,3.0,6.0,8.0,5.0,NA
SFPQ_HUMAN,NA,6.0,NA,NA,NA,NA,1.0,2.0,NA,NA,NA,2.0,4.0,NA,1.0,17.0,NA,5.0,5.0,4.9787235,2.0,6.957447,NA,1.9787234,NA
RL18_HUMAN,14.0,NA,5.0,8.0,23.0,12.0,15.0,16.0,17.0,21.0,10.0,12.0,6.0,20.0,14.0,30.0,16.0,15.0,9.0,22.0,9.0,17.0,13.0,19.0,14.0
GLOD4_HUMAN,NA,NA,2.0,1.0,13.0,NA,7.0,10.0,6.0,11.0,NA,2.0,8.0,13.0,16.0,NA,NA,4.0,3.0,9.0,14.0,11.0,10.0,2.0,NA
HDGF_HUMAN,8.0,2.0,NA,3.0,8.0,9.0,12.0,15.0,3.0,6.0,11.0,NA,1.0,8.0,4.0,NA,6.0,1.0,18.0,12.0,NA,6.0,NA,6.0,NA
RL7A_HUMAN,6.0,NA,NA,5.0,8.0,6.0,7.0,11.0,5.0,6.0,8.0,11.0,10.0,7.0,10.0,7.0,5.0,9.0,6.0,10.0,16.0,13.0,5.0,11.0,3.0
SRSF3_HUMAN,6.235669,1.6050956,3.8152866,11.866242,16.025478,21.26415,18.26415,10.509434,8.3396225,13.679245,14.898306,17.242939,9.242938,12.276836,14.898306,8.20904,16.519775,11.864407,23.553673,31.485876,11.553673,14.898306,6.5875707,9.553673,7.5875707
GSTK1_HUMAN,NA,NA,NA,NA,2.0,1.0,NA,NA,2.0,NA,NA,1.0,7.0,13.0,8.0,9.0,NA,4.0,NA,3.0,8.0,5.0,6.0,6.0,4.0
FUS_HUMAN,NA,NA,NA,NA,9.0,2.1,6.3,5.8999996,2.8,5.8,2.2857144,NA,0.5714286,2.7142856,1.7142859,1.5714285,3.2857141,0.5714286,8.0,5.714286,5.571429,4.571429,2.2857144,NA,0.5714286
H90B2_HUMAN,0.03482587,0.04477612,0.028967006,0.019016758,0.053678975,0.040640395,0.07489924,0.07725033,1.0282133,0.03929691,0.11209849,1.0436682,0.071358554,1.1194445,0.07572536,1.0946312,0.05969674,0.09463124,0.03930131,0.07279718,0.107731685,0.052401748,0.08153081,1.0480349,0.024762243
H2AX_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN32E_HUMAN,2.0,NA,NA,NA,7.0,2.0,27.0,8.0,1.0,10.0,NA,NA,NA,NA,5.0,1.0,NA,NA,5.0,2.0,NA,3.0,NA,NA,NA
ENOB_HUMAN,4.0,3.0,2.0,9.235995,11.943981,12.249458,10.99783,13.12256,3.3741865,9.12256,9.0,8.6062355,5.6062355,9.212471,6.5762124,3.4849885,6.1212473,9.363741,5.1212473,9.84873,6.6062355,9.84873,13.212471,6.8187065,6.6062355
UBE2N_HUMAN,6.0,7.0,5.0,7.0,2.0,11.0,5.0,NA,NA,4.0,5.0,14.0,14.0,7.0,12.0,3.0,7.0,9.0,3.0,7.0,14.0,4.0,8.0,4.0,3.0
PTMA_HUMAN,NA,NA,8.0,13.0,6.0,15.0,9.0,9.0,6.0,12.0,16.0,11.0,8.0,5.0,2.0,NA,9.0,2.0,20.0,14.0,10.0,6.0,23.0,21.0,2.0
LAP2B_HUMAN,5.0,NA,8.0,7.0,7.0,9.0,NA,NA,5.0,4.0,6.0,10.0,15.0,11.0,5.0,16.0,22.0,19.0,14.0,9.0,17.0,12.0,12.0,8.0,9.0
