Protein Set	Description	K02	K04	K05	K07	K10	K12	K18	K20	K23	K24	K26	K27	K31	K32	K35	K41	K03	K06	K08	K09	K11	K13	K14	K15	K19	K22	K28	K29	K38	K40	K42	K43	K44	Z01	Z03	Z05	Z07	Z09	Z16	Z17	Z18	Z19	Z20	Z23	Z02	Z06	Z10	Z11	Z12	Z13	Z14	Z15	Z21	Z22	Z04	Z08	Z25
PPIA	na	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0
SFXN3	na	8.0	9.0	9.0	10.0	9.0	9.0	9.0	5.0	7.0	8.0	10.0	8.0	10.0	7.0	10.0	10.0	8.0	8.0	4.0	9.0	9.0	9.0	10.0	9.0	3.0	9.0	8.0	9.0	9.0	9.0	8.0	9.0	10.0	8.0	11.0	9.0	10.0	10.0	11.0	11.0	8.0	7.0	10.0	10.0	11.0	10.0	5.0	7.0	9.0	9.0	10.0	11.0	8.0	8.0	11.0	9.0	9.0
MEPCE	na	6.0	5.0	3.0	5.0	4.0	3.0	2.0	4.0	3.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	3.0	5.0	2.0	6.0	4.0	3.0	5.0	5.0	5.0	4.0	2.0	6.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	3.0	4.0	5.0	5.0	4.0	5.0	3.0	2.0	3.0	3.0	4.0	2.0	2.0	4.0	4.0	4.0	5.0	4.0	3.0	5.0	5.0
PLCL1	na	2.0	1.0	3.0	3.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	2.0	2.0	3.0
ATG4B	na	2.0	1.0	3.0	2.0	2.0	3.0	3.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	0.0	1.0	3.0	2.0	3.0	2.0	0.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	2.0	1.0	2.0
SYNE1	na	56.0	58.0	57.0	59.0	47.0	60.0	42.0	10.0	29.0	38.0	37.0	14.0	51.0	47.0	46.0	58.0	39.0	28.0	19.0	55.0	55.0	34.0	52.0	57.0	9.0	34.0	37.0	53.0	51.0	45.0	58.0	50.0	60.0	49.0	51.0	46.0	57.0	68.0	64.0	61.0	64.0	48.0	46.0	56.0	52.0	40.0	19.0	28.0	51.0	50.0	57.0	52.0	50.0	58.0	64.0	58.0	59.0
HECTD3	na	7.0	10.0	9.0	9.0	10.0	8.0	7.0	4.0	1.0	5.0	4.0	5.0	10.0	7.0	8.0	8.0	9.0	9.0	2.0	6.0	8.0	8.0	7.0	7.0	3.0	8.0	6.0	8.0	7.0	10.0	10.0	9.0	8.0	8.0	7.0	7.0	9.0	8.0	10.0	9.0	9.0	8.0	5.0	8.0	7.0	8.0	3.0	2.0	9.0	8.0	10.0	9.0	9.0	9.0	9.0	7.0	7.0
FMNL1	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AKAP8	na	7.0	8.0	9.0	8.0	5.0	6.0	5.0	8.0	6.0	6.0	9.0	9.0	8.0	7.0	9.0	6.0	5.0	5.0	4.0	7.0	7.0	6.0	6.0	7.0	6.0	6.0	7.0	6.0	7.0	6.0	8.0	9.0	6.0	7.0	10.0	8.0	5.0	7.0	8.0	9.0	8.0	7.0	4.0	7.0	6.0	7.0	5.0	8.0	6.0	7.0	8.0	6.0	8.0	9.0	8.0	10.0	8.0
MGST3	na	5.0	5.0	4.0	5.0	4.0	5.0	4.0	2.0	4.0	4.0	5.0	5.0	5.0	2.0	4.0	5.0	4.0	5.0	3.0	5.0	5.0	4.0	5.0	5.0	2.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
BASP1	na	7.0	6.0	7.0	5.0	4.0	7.0	7.0	7.0	7.0	7.0	7.0	8.0	3.0	8.0	7.0	5.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	4.0	6.0	3.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	4.0	6.0	0.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	5.0	7.0	7.0	0.0	2.0	2.0	7.0	0.0
GSTM1	na	8.0	17.0	7.0	18.0	16.0	6.0	6.0	12.0	11.0	13.0	20.0	19.0	6.0	6.0	14.0	4.0	15.0	6.0	5.0	6.0	11.0	14.0	6.0	19.0	3.0	17.0	11.0	5.0	17.0	16.0	18.0	6.0	17.0	8.0	7.0	3.0	16.0	8.0	17.0	10.0	9.0	15.0	5.0	16.0	16.0	14.0	11.0	3.0	13.0	7.0	9.0	7.0	15.0	14.0	10.0	5.0	6.0
TMPO	na	19.0	18.0	17.0	19.0	15.0	16.0	13.0	10.0	15.0	16.0	17.0	14.0	16.0	18.0	18.0	15.0	12.0	15.0	16.0	17.0	17.0	15.0	18.0	16.0	11.0	13.0	15.0	18.0	16.0	15.0	18.0	18.0	17.0	16.0	15.0	14.0	13.0	17.0	16.0	18.0	15.0	13.0	11.0	14.0	12.0	15.0	14.0	15.0	11.0	16.0	15.0	13.0	15.0	17.0	15.0	18.0	18.0
SNX1	na	14.0	15.0	16.0	13.0	15.0	17.0	16.0	10.0	9.0	11.0	12.0	13.0	10.0	10.0	14.0	13.0	12.0	16.0	7.0	14.0	15.0	14.0	14.0	16.0	10.0	11.0	11.0	17.0	15.0	14.0	16.0	15.0	15.0	14.0	17.0	14.0	17.0	17.0	17.0	16.0	17.0	16.0	13.0	14.0	14.0	15.0	11.0	10.0	14.0	15.0	17.0	17.0	13.0	15.0	16.0	17.0	14.0
LONP1	na	30.0	32.0	27.0	33.0	25.0	26.0	21.0	18.0	20.0	21.0	31.0	30.0	29.0	27.0	26.0	31.0	25.0	26.0	13.0	29.0	29.0	25.0	30.0	29.0	15.0	26.0	19.0	31.0	26.0	29.0	32.0	30.0	31.0	32.0	25.0	28.0	28.0	31.0	32.0	32.0	31.0	31.0	25.0	32.0	29.0	26.0	18.0	19.0	24.0	30.0	29.0	30.0	27.0	29.0	33.0	30.0	32.0
CPSF4	na	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	1.0	2.0	3.0	3.0	3.0	3.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0
TBC1D15	na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
CBR3	na	13.0	12.0	10.0	13.0	8.0	11.0	6.0	12.0	8.0	10.0	12.0	13.0	11.0	15.0	13.0	12.0	13.0	13.0	8.0	12.0	12.0	10.0	11.0	13.0	8.0	13.0	8.0	13.0	13.0	13.0	10.0	14.0	8.0	12.0	13.0	13.0	10.0	13.0	12.0	13.0	13.0	13.0	12.0	12.0	11.0	11.0	6.0	4.0	9.0	13.0	11.0	11.0	11.0	13.0	13.0	13.0	13.0
PSME2	na	24.0	23.0	18.0	23.0	22.0	19.0	20.0	20.0	16.0	16.0	23.0	21.0	21.0	22.0	19.0	20.0	24.0	22.0	15.0	24.0	23.0	18.0	23.0	19.0	20.0	19.0	15.0	23.0	20.0	21.0	24.0	23.0	25.0	23.0	22.0	23.0	22.0	23.0	22.0	21.0	23.0	23.0	23.0	22.0	23.0	23.0	21.0	21.0	22.0	23.0	22.0	23.0	22.0	22.0	24.0	23.0	23.0
UBE2I	na	10.0	9.0	9.0	8.0	10.0	9.0	9.0	7.0	9.0	10.0	9.0	11.0	9.0	11.0	8.0	10.0	8.0	9.0	4.0	9.0	10.0	8.0	10.0	9.0	7.0	9.0	8.0	10.0	8.0	8.0	9.0	8.0	9.0	8.0	9.0	9.0	10.0	12.0	10.0	10.0	11.0	11.0	7.0	8.0	8.0	9.0	8.0	5.0	9.0	9.0	10.0	11.0	10.0	9.0	10.0	9.0	10.0
HEL-S-89n	na	55.0	49.0	47.0	50.0	50.0	46.0	47.0	52.0	50.0	52.0	55.0	54.0	47.0	57.0	57.0	49.0	49.0	52.0	47.0	51.0	47.0	50.0	54.0	50.0	52.0	50.0	40.0	49.0	49.0	57.0	50.0	53.0	55.0	52.0	49.0	44.0	44.0	45.0	47.0	46.0	47.0	49.0	45.0	51.0	49.0	48.0	51.0	44.0	44.0	47.0	44.0	44.0	51.0	47.0	43.0	50.0	48.0
EWSR1	na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
LSP1	na	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
TM9SF2	na	5.0	6.0	4.0	4.0	5.0	6.0	6.0	3.0	0.0	3.0	3.0	3.0	4.0	2.0	2.0	5.0	2.0	2.0	1.0	3.0	5.0	3.0	4.0	5.0	0.0	1.0	3.0	6.0	3.0	2.0	6.0	2.0	4.0	5.0	5.0	4.0	6.0	6.0	6.0	8.0	7.0	6.0	3.0	3.0	5.0	5.0	0.0	1.0	3.0	3.0	5.0	6.0	3.0	6.0	6.0	4.0	6.0
UQCRC2	na	19.0	23.0	20.0	21.0	19.0	20.0	21.0	16.0	15.0	16.0	21.0	20.0	19.0	20.0	18.0	20.0	19.0	19.0	13.0	19.0	18.0	18.0	20.0	20.0	15.0	19.0	16.0	21.0	18.0	18.0	20.0	21.0	19.0	22.0	20.0	21.0	19.0	20.0	20.0	20.0	21.0	19.0	20.0	19.0	20.0	19.0	16.0	18.0	19.0	19.0	20.0	21.0	20.0	21.0	21.0	20.0	19.0
HMGN4	na	4.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	6.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	6.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	6.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0
SURF6	na	8.0	8.0	9.0	5.0	5.0	8.0	3.0	4.0	9.0	8.0	7.0	10.0	9.0	9.0	8.0	9.0	5.0	9.0	8.0	9.0	8.0	7.0	8.0	6.0	7.0	8.0	7.0	8.0	7.0	8.0	8.0	6.0	8.0	6.0	8.0	9.0	7.0	8.0	9.0	9.0	7.0	7.0	5.0	5.0	6.0	6.0	9.0	9.0	7.0	6.0	8.0	8.0	10.0	9.0	5.0	10.0	8.0
ARMT1	na	7.0	8.0	7.0	7.0	7.0	7.0	7.0	5.0	6.0	5.0	9.0	8.0	7.0	5.0	5.0	9.0	7.0	8.0	0.0	9.0	9.0	7.0	9.0	7.0	6.0	8.0	5.0	8.0	7.0	9.0	8.0	6.0	8.0	8.0	8.0	8.0	9.0	10.0	11.0	10.0	10.0	10.0	8.0	6.0	10.0	6.0	4.0	1.0	6.0	10.0	9.0	8.0	10.0	8.0	9.0	10.0	6.0
ACTG1	na	9.0	10.0	8.0	9.0	8.0	6.0	4.0	8.0	6.0	4.0	9.0	10.0	9.0	11.0	7.0	8.0	6.0	7.0	8.0	6.0	6.0	5.0	7.0	6.0	6.0	7.0	3.0	8.0	5.0	7.0	6.0	7.0	8.0	8.0	6.0	7.0	6.0	4.0	6.0	7.0	5.0	4.0	5.0	9.0	6.0	9.0	4.0	6.0	4.0	5.0	5.0	4.0	8.0	4.0	6.0	7.0	7.0
DYSF	na	0.0	0.0	3.0	3.0	0.0	2.0	13.0	3.0	3.0	3.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	0.0	4.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	4.0	0.0	1.0	2.0	2.0	0.0	2.0	3.0	0.0	0.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	4.0	1.0	4.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	0.0
KYAT3	na	13.0	15.0	15.0	15.0	13.0	16.0	13.0	10.0	9.0	12.0	14.0	15.0	16.0	11.0	12.0	16.0	13.0	14.0	6.0	12.0	14.0	11.0	15.0	14.0	9.0	16.0	12.0	15.0	15.0	15.0	15.0	15.0	14.0	12.0	13.0	15.0	15.0	16.0	14.0	15.0	15.0	17.0	15.0	16.0	13.0	13.0	11.0	11.0	15.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	17.0
DAD1	na	4.0	5.0	5.0	4.0	5.0	5.0	5.0	2.0	2.0	4.0	4.0	3.0	3.0	3.0	4.0	5.0	3.0	3.0	3.0	4.0	5.0	5.0	3.0	5.0	1.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	3.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0
WBSCR22	na	3.0	3.0	4.0	4.0	3.0	5.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	2.0	3.0	5.0	3.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	5.0	3.0	3.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	3.0	3.0	0.0	3.0	3.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0
EIF5B	na	35.0	32.0	32.0	33.0	28.0	29.0	25.0	20.0	25.0	24.0	33.0	32.0	31.0	33.0	33.0	34.0	28.0	35.0	16.0	27.0	30.0	23.0	35.0	31.0	29.0	25.0	25.0	33.0	32.0	32.0	36.0	31.0	34.0	34.0	25.0	31.0	29.0	31.0	36.0	35.0	31.0	34.0	25.0	31.0	33.0	26.0	24.0	25.0	23.0	27.0	27.0	26.0	31.0	27.0	29.0	33.0	33.0
INPP5D	na	53.0	56.0	51.0	57.0	51.0	51.0	48.0	32.0	38.0	43.0	52.0	51.0	52.0	49.0	49.0	56.0	47.0	52.0	26.0	54.0	49.0	44.0	54.0	51.0	36.0	45.0	37.0	54.0	50.0	53.0	53.0	50.0	57.0	52.0	51.0	54.0	52.0	55.0	52.0	56.0	53.0	55.0	43.0	49.0	49.0	42.0	35.0	36.0	41.0	46.0	50.0	52.0	45.0	48.0	56.0	50.0	53.0
YWHAG	na	12.0	13.0	11.0	12.0	13.0	11.0	12.0	12.0	10.0	11.0	13.0	12.0	11.0	14.0	13.0	12.0	11.0	12.0	10.0	12.0	10.0	10.0	11.0	11.0	12.0	12.0	10.0	13.0	11.0	12.0	12.0	12.0	11.0	12.0	12.0	13.0	11.0	11.0	12.0	12.0	12.0	12.0	12.0	13.0	13.0	13.0	12.0	12.0	12.0	11.0	12.0	11.0	11.0	11.0	13.0	12.0	12.0
CHMP3	na	4.0	5.0	4.0	5.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	1.0	4.0	3.0	2.0	3.0	3.0	4.0	2.0	2.0	3.0	3.0	2.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	3.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0
MECR	na	3.0	3.0	3.0	3.0	2.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	4.0	3.0	2.0	3.0	3.0	2.0	1.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	5.0	4.0	4.0	3.0	2.0	3.0	4.0	2.0	1.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	5.0	3.0	4.0
BUD13	na	5.0	4.0	3.0	5.0	6.0	2.0	3.0	3.0	5.0	3.0	5.0	5.0	4.0	4.0	4.0	4.0	2.0	6.0	3.0	4.0	4.0	3.0	5.0	5.0	6.0	5.0	3.0	3.0	4.0	2.0	5.0	2.0	4.0	4.0	4.0	3.0	3.0	2.0	5.0	4.0	5.0	5.0	4.0	4.0	3.0	3.0	5.0	6.0	2.0	4.0	5.0	4.0	6.0	5.0	5.0	6.0	4.0
RAD23A	na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RPS23	na	7.0	6.0	6.0	6.0	6.0	6.0	4.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	7.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	6.0	6.0	6.0	7.0	7.0	6.0	5.0	7.0	6.0	7.0	6.0	6.0
SAP30L	na	2.0	3.0	3.0	2.0	2.0	2.0	0.0	1.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	3.0	2.0	3.0	1.0	2.0	3.0	1.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0
NDUFA6	na	5.0	4.0	6.0	6.0	6.0	5.0	5.0	4.0	5.0	7.0	5.0	6.0	4.0	5.0	5.0	6.0	6.0	5.0	5.0	7.0	7.0	5.0	7.0	6.0	5.0	5.0	4.0	5.0	6.0	5.0	6.0	5.0	6.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	7.0	6.0	7.0	7.0	7.0	4.0	5.0	4.0	5.0	7.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0
DKFZp666D023	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
RPS14	na	10.0	11.0	10.0	11.0	10.0	9.0	10.0	11.0	11.0	10.0	11.0	11.0	10.0	11.0	10.0	10.0	9.0	10.0	10.0	9.0	9.0	11.0	9.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	11.0	10.0	11.0	11.0	10.0	9.0	9.0	10.0	9.0	8.0	9.0	9.0	11.0	9.0	11.0	9.0	11.0	9.0	9.0	9.0	8.0	11.0	9.0	8.0	11.0	10.0
PPHLN1	na	8.0	6.0	8.0	7.0	7.0	7.0	6.0	8.0	7.0	7.0	8.0	8.0	6.0	6.0	8.0	8.0	8.0	8.0	7.0	6.0	7.0	7.0	8.0	8.0	7.0	7.0	5.0	7.0	7.0	7.0	6.0	8.0	6.0	8.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	8.0	7.0	8.0	8.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0
EPRS1	na	66.0	63.0	58.0	65.0	57.0	56.0	60.0	50.0	48.0	49.0	65.0	69.0	57.0	65.0	60.0	65.0	54.0	65.0	30.0	60.0	60.0	47.0	59.0	60.0	41.0	54.0	44.0	61.0	58.0	61.0	66.0	63.0	65.0	63.0	59.0	58.0	60.0	60.0	62.0	57.0	60.0	64.0	51.0	63.0	59.0	56.0	46.0	46.0	47.0	55.0	57.0	58.0	57.0	57.0	62.0	62.0	65.0
MICOS13	na	1.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0
ECH1	na	19.0	18.0	16.0	16.0	14.0	15.0	16.0	17.0	15.0	15.0	20.0	18.0	16.0	19.0	18.0	16.0	17.0	18.0	10.0	14.0	16.0	17.0	18.0	18.0	16.0	15.0	14.0	16.0	16.0	19.0	21.0	20.0	19.0	21.0	15.0	18.0	17.0	18.0	18.0	17.0	17.0	17.0	17.0	19.0	18.0	17.0	16.0	14.0	16.0	19.0	18.0	17.0	18.0	16.0	19.0	17.0	17.0
MSN	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DCAF13	na	6.0	5.0	4.0	6.0	5.0	4.0	4.0	0.0	2.0	6.0	7.0	4.0	4.0	5.0	3.0	5.0	4.0	4.0	1.0	5.0	5.0	4.0	5.0	6.0	2.0	5.0	4.0	6.0	4.0	7.0	5.0	5.0	5.0	5.0	2.0	3.0	5.0	6.0	5.0	6.0	7.0	6.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	4.0	6.0	6.0	5.0	6.0	6.0	5.0	6.0
PTCD3	na	7.0	8.0	5.0	7.0	7.0	7.0	6.0	3.0	6.0	5.0	6.0	6.0	7.0	8.0	8.0	7.0	4.0	7.0	1.0	7.0	7.0	5.0	7.0	8.0	2.0	6.0	6.0	9.0	6.0	7.0	6.0	9.0	8.0	9.0	7.0	9.0	9.0	9.0	9.0	8.0	8.0	7.0	5.0	7.0	9.0	6.0	3.0	5.0	7.0	9.0	8.0	8.0	7.0	7.0	7.0	7.0	8.0
UBE2V1	na	14.0	12.0	13.0	13.0	13.0	11.0	13.0	12.0	10.0	10.0	12.0	11.0	11.0	15.0	12.0	13.0	14.0	13.0	9.0	13.0	13.0	12.0	13.0	14.0	11.0	12.0	11.0	13.0	12.0	12.0	13.0	12.0	14.0	13.0	12.0	11.0	12.0	10.0	13.0	11.0	13.0	13.0	11.0	11.0	14.0	11.0	12.0	11.0	12.0	11.0	10.0	12.0	11.0	11.0	12.0	13.0	12.0
PECR	na	8.0	9.0	8.0	7.0	7.0	8.0	7.0	3.0	7.0	8.0	8.0	8.0	7.0	6.0	8.0	9.0	8.0	6.0	2.0	8.0	8.0	7.0	8.0	7.0	3.0	8.0	7.0	8.0	9.0	8.0	9.0	9.0	6.0	8.0	7.0	9.0	8.0	9.0	9.0	9.0	9.0	8.0	7.0	9.0	9.0	7.0	5.0	4.0	7.0	9.0	8.0	8.0	8.0	7.0	9.0	5.0	8.0
PLG	na	19.0	16.0	14.0	13.0	13.0	20.0	12.0	15.0	6.0	9.0	16.0	18.0	14.0	11.0	5.0	10.0	20.0	8.0	9.0	20.0	16.0	14.0	10.0	18.0	4.0	5.0	5.0	5.0	13.0	14.0	7.0	8.0	15.0	10.0	19.0	7.0	5.0	9.0	5.0	8.0	17.0	7.0	11.0	6.0	15.0	7.0	2.0	3.0	5.0	3.0	3.0	7.0	14.0	7.0	8.0	13.0	14.0
PTGES3	na	10.0	9.0	8.0	9.0	8.0	8.0	6.0	9.0	9.0	7.0	10.0	10.0	9.0	7.0	9.0	9.0	8.0	9.0	6.0	8.0	8.0	8.0	9.0	7.0	9.0	10.0	6.0	10.0	8.0	9.0	10.0	8.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	8.0	9.0	9.0	7.0	8.0	9.0	8.0	10.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	8.0	9.0	9.0
CHP	na	3.0	3.0	3.0	3.0	0.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	3.0	1.0	3.0	0.0	2.0	3.0	3.0	3.0	3.0	0.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	1.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	3.0	2.0	1.0	2.0	3.0	3.0	3.0
RAVER1	na	19.0	20.0	19.0	20.0	16.0	19.0	15.0	9.0	12.0	13.0	18.0	19.0	19.0	21.0	19.0	19.0	11.0	20.0	8.0	19.0	19.0	11.0	19.0	19.0	9.0	14.0	13.0	20.0	18.0	19.0	19.0	19.0	20.0	19.0	17.0	19.0	19.0	20.0	20.0	20.0	19.0	20.0	18.0	19.0	19.0	16.0	12.0	9.0	12.0	19.0	18.0	18.0	21.0	19.0	20.0	20.0	22.0
